Market Price Type,Centre,Variety Name,Grade,Unit,Max Price,Average Price,Min. Price
Farm Price,"JOHOR BAHRU, JOHOR",AYAM HIDUP,F.A.Q,100 KG,780.00,750.00,720.00
Farm Price,"JOHOR BAHRU, JOHOR",BAYAM ,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,"JOHOR BAHRU, JOHOR",BETIK SEKAKI,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"JOHOR BAHRU, JOHOR",BUNGA KANTAN,F.A.Q,TANGKAI,0.50,0.50,0.50
Farm Price,"JOHOR BAHRU, JOHOR",CILI HIJAU,F.A.Q,100 KG,800.00,750.00,700.00
Farm Price,"JOHOR BAHRU, JOHOR",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,950.00,925.00,900.00
Farm Price,"JOHOR BAHRU, JOHOR",KACANG BENDI,F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,"JOHOR BAHRU, JOHOR",KACANG PANJANG HIJAU,F.A.Q,100 KG,700.00,650.00,600.00
Farm Price,"JOHOR BAHRU, JOHOR",KANGKUNG,F.A.Q,100 KG,400.00,350.00,300.00
Farm Price,"JOHOR BAHRU, JOHOR",KELAPA DIKUPAS,SEDANG,100 BIJI,135.00,135.00,135.00
Farm Price,"JOHOR BAHRU, JOHOR",KETOLA / PETOLA SEGI,F.A.Q,100 KG,350.00,350.00,350.00
Farm Price,"JOHOR BAHRU, JOHOR",PISANG BERANGAN,F.A.Q,100 KG,200.00,175.00,150.00
Farm Price,"JOHOR BAHRU, JOHOR",PISANG MAS,F.A.Q,100 KG,180.00,165.00,150.00
Farm Price,"JOHOR BAHRU, JOHOR",SAWI HIJAU,F.A.Q,100 KG,500.00,475.00,450.00
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,A,100 BIJI,39.00,39.00,39.00
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,B,100 BIJI,37.00,37.00,37.00
Farm Price,"JOHOR BAHRU, JOHOR",TELUR AYAM,C,100 BIJI,35.00,35.00,35.00
Farm Price,"JOHOR BAHRU, JOHOR",TEMBIKAI MERAH TANPA BIJI,F.A.Q,100 KG,200.00,190.00,180.00
Farm Price,"JOHOR BAHRU, JOHOR",TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,100 KG,550.00,525.00,500.00
Farm Price,"JOHOR BAHRU, JOHOR",TIMUN HIJAU ,F.A.Q,100 KG,350.00,330.00,310.00
Farm Price,"KUBANG PASU, KEDAH",AYAM HIDUP,F.A.Q,100 KG,630.00,620.00,620.00
Farm Price,"PENDANG, KEDAH",BAYAM ,F.A.Q,100 KG,260.00,250.00,250.00
Farm Price,"PENDANG, KEDAH",BETIK SEKAKI,F.A.Q,100 KG,230.00,220.00,220.00
Farm Price,"PENDANG, KEDAH",CILI MERAH KULAI / KULAI HIBRID,F.A.Q,100 KG,1100.00,1000.00,1000.00
Farm Price,"PENDANG, KEDAH",KACANG BENDI,F.A.Q,100 KG,400.00,350.00,350.00
Farm Price,"PENDANG, KEDAH",KACANG PANJANG HIJAU,F.A.Q,100 KG,370.00,350.00,350.00
Farm Price,"PENDANG, KEDAH",KANGKUNG,F.A.Q,100 KG,250.00,200.00,200.00
Farm Price,"PENDANG, KEDAH",KETOLA / PETOLA SEGI,F.A.Q,100 KG,200.00,180.00,180.00
Farm Price,"PENDANG, KEDAH",PISANG BERANGAN,F.A.Q,100 KG,150.00,150.00,150.00
